Code,Name,Geographic Level,City Class,Income Classification,Urban / Rural(based on 2015 POPCEN),POPULATION(2015 POPCEN),Notes,Capital,Old Name
12934032,Salindeg,Bgy,,,R,"1,399",,,
12934033,San Jose,Bgy,,,R,901,,,
12934034,San Julian Norte,Bgy,,,R,"2,724",,,
12934035,San Julian Sur,Bgy,,,R,"1,278",,,
12934036,San Pedro,Bgy,,,R,"1,444",,,
12934037,Tamag,Bgy,,,U,"3,596",,,
12934038,Barangay VII,Bgy,,,R,"1,367",,,
12934039,Barangay VIII,Bgy,,,U,"1,454",,,
12934040,Barangay IX,Bgy,,,R,"2,575",,,
13300000,LA UNION,Prov,,1st,,"786,653",,,
13301000,AGOO,Mun,,1st,,"63,692",,,
13301001,Ambitacay,Bgy,,,R,806,,,
13301002,Balawarte,Bgy,,,R,"1,754",,,
13301003,Capas,Bgy,,,R,"1,070",,,
13301004,Consolacion (Pob.),Bgy,,,U,"1,661",,,
13301005,Macalva Central,Bgy,,,R,662,,,
13301006,Macalva Norte,Bgy,,,R,"1,138",,,
13301007,Macalva Sur,Bgy,,,R,"1,429",,,
13301008,Nazareno,Bgy,,,U,"2,061",,,
13301009,Purok,Bgy,,,R,654,,,
13301010,San Agustin East,Bgy,,,U,"2,387",,,
13301011,San Agustin Norte,Bgy,,,R,"1,319",,,
13301012,San Agustin Sur,Bgy,,,U,"1,186",,,
13301013,San Antonino,Bgy,,,R,"1,009",,,
13301014,San Antonio,Bgy,,,U,"2,372",,,
13301015,San Francisco,Bgy,,,R,"1,044",,,
13301016,San Isidro,Bgy,,,R,"2,082",,,
13301017,San Joaquin Norte,Bgy,,,R,"1,424",,,
13301018,San Joaquin Sur,Bgy,,,U,"1,480",,,
13301019,San Jose Norte,Bgy,,,U,820,,,
13301020,San Jose Sur,Bgy,,,R,"1,796",,,
13301021,San Juan,Bgy,,,R,"1,131",,,
13301022,San Julian Central,Bgy,,,R,619,,,
13301023,San Julian East,Bgy,,,R,"1,121",,,
13301024,San Julian Norte,Bgy,,,R,744,,,
13301025,San Julian West,Bgy,,,R,"1,914",,,
13301026,San Manuel Norte,Bgy,,,R,"2,031",,,
13301027,San Manuel Sur,Bgy,,,R,873,,,
13301028,San Marcos,Bgy,,,U,"2,072",,,
13301029,San Miguel,Bgy,,,R,"1,577",,,
13301030,San Nicolas Central (Pob.),Bgy,,,R,"1,177",,,
13301031,San Nicolas East,Bgy,,,R,821,,,
13301032,San Nicolas Norte (Pob.),Bgy,,,U,689,,,
13301033,San Nicolas West,Bgy,,,R,"2,710",,,
13301034,San Nicolas Sur (Pob.),Bgy,,,U,485,,,
13301035,San Pedro,Bgy,,,R,"1,106",,,
13301036,San Roque West,Bgy,,,R,"1,455",,,
13301037,San Roque East,Bgy,,,R,787,,,
13301038,San Vicente Norte,Bgy,,,R,"1,092",,,
13301039,San Vicente Sur,Bgy,,,R,"1,108",,,
13301040,Santa Ana,Bgy,,,R,"1,936",,,
13301041,Santa Barbara (Pob.),Bgy,,,U,"1,907",,,
13301042,Santa Fe,Bgy,,,R,804,,,
13301043,Santa Maria,Bgy,,,R,971,,,
13301044,Santa Monica,Bgy,,,R,"1,026",,,
13301045,Santa Rita (Nalinac),Bgy,,,R,"1,529",,,
13301046,Santa Rita East,Bgy,,,R,777,,,
13301047,Santa Rita Norte,Bgy,,,U,"1,158",,,
13301048,Santa Rita Sur,Bgy,,,R,"1,074",,,
13301049,Santa Rita West,Bgy,,,R,844,,,
13302000,ARINGAY,Mun,,2nd,,"47,458",,,
13302001,Alaska,Bgy,,,R,954,,,
13302002,Basca,Bgy,,,R,"2,137",,,
13302003,Dulao,Bgy,,,R,"3,427",,,
13302004,Gallano,Bgy,,,R,988,,,
13302005,Macabato,Bgy,,,R,"1,498",,,
13302006,Manga,Bgy,,,R,"1,650",,,
13302007,Pangao-aoan East,Bgy,,,R,"1,182",,,
13302009,Pangao-aoan West,Bgy,,,R,969,,,
13302010,Poblacion,Bgy,,,R,"3,473",,,
13302011,Samara,Bgy,,,R,"2,735",,,
13302012,San Antonio,Bgy,,,R,"1,034",,,
13302014,San Benito Norte,Bgy,,,U,"2,625",,,
13302015,San Benito Sur,Bgy,,,U,"3,638",,,
13302016,San Eugenio,Bgy,,,R,"3,783",,,
13302018,San Juan East,Bgy,,,R,916,,,
13302019,San Juan West,Bgy,,,R,"1,250",,,
13302020,San Simon East,Bgy,,,R,"1,077",,,
13302021,San Simon West,Bgy,,,R,"1,282",,,
13302022,Santa Cecilia,Bgy,,,R,"1,868",,,
13302023,Santa Lucia,Bgy,,,R,"3,096",,,
13302024,Santa Rita East,Bgy,,,U,"1,069",,,
13302025,Santa Rita West,Bgy,,,R,"3,438",,,
13302027,Santo Rosario East,Bgy,,,R,"1,490",,,
13302028,Santo Rosario West,Bgy,,,R,"1,879",,,
13303000,BACNOTAN,Mun,,1st,,"42,078",,,
13303001,Agtipal,Bgy,,,R,555,,,
13303002,Arosip,Bgy,,,R,588,,,
13303003,Bacqui,Bgy,,,R,532,,,
13303004,Bacsil,Bgy,,,R,785,,,
13303005,Bagutot,Bgy,,,R,243,,,
13303006,Ballogo,Bgy,,,R,942,,,
13303007,Baroro,Bgy,,,R,"2,731",,,
13303008,Bitalag,Bgy,,,R,"1,596",,,
13303009,Bulala,Bgy,,,U,"1,268",,,
13303010,Burayoc,Bgy,,,R,432,,,
13303011,Bussaoit,Bgy,,,R,583,,,
13303012,Cabaroan,Bgy,,,R,"1,914",,,
13303013,Cabarsican,Bgy,,,R,"1,171",,,
13303014,Cabugao,Bgy,,,R,427,,,
13303015,Calautit,Bgy,,,R,720,,,
13303016,Carcarmay,Bgy,,,R,560,,,
13303017,Casiaman,Bgy,,,R,869,,,
13303018,Galongen,Bgy,,,R,"1,037",,,
13303019,Guinabang,Bgy,,,R,979,,,
13303020,Legleg,Bgy,,,R,553,,,
13303021,Lisqueb,Bgy,,,R,816,,,
13303022,Mabanengbeng 1st,Bgy,,,R,351,,,
13303023,Mabanengbeng 2nd,Bgy,,,R,341,,,
13303024,Maragayap,Bgy,,,R,546,,,
13303025,Nangalisan,Bgy,,,R,814,,,
13303026,Nagatiran,Bgy,,,R,676,,,
13303027,Nagsaraboan,Bgy,,,R,"1,092",,,
13303028,Nagsimbaanan,Bgy,,,U,705,,,
13303029,Narra,Bgy,,,R,"1,211",,,
13303030,Ortega,Bgy,,,R,917,,,
13303031,Paagan,Bgy,,,R,572,,,
13303032,Pandan,Bgy,,,R,"1,166",,,
13303033,Pang-pang,Bgy,,,R,197,,,
13303034,Poblacion,Bgy,,,U,"3,549",,,
13303035,Quirino,Bgy,,,U,"1,080",,,
13303036,Raois,Bgy,,,R,894,,,
13303037,Salincob,Bgy,,,R,561,,,
13303038,San Martin,Bgy,,,R,810,,,
13303039,Santa Cruz,Bgy,,,R,"1,247",,,
13303040,Santa Rita,Bgy,,,R,648,,,
13303041,Sapilang,Bgy,,,R,940,,,
13303042,Sayoan,Bgy,,,R,403,,,
13303043,Sipulo,Bgy,,,R,"1,042",,,
13303044,Tammocalao,Bgy,,,R,"1,368",,,
13303045,Ubbog,Bgy,,,R,579,,,
13303046,Oya-oy,Bgy,,,R,522,,,
13303047,Zaragosa,Bgy,,,R,546,,,
13304000,BAGULIN,Mun,,5th,,"13,456",,,
13304001,Alibangsay,Bgy,,,R,"1,211",,,
13304002,Baay,Bgy,,,R,"1,097",,,
13304003,Cambaly,Bgy,,,R,"1,849",,,
13304004,Cardiz,Bgy,,,R,"1,313",,,
13304005,Dagup,Bgy,,,R,"2,286",,,
13304006,Libbo,Bgy,,,R,877,,,
13304007,Suyo (Pob.),Bgy,,,R,"1,732",,,
13304008,Tagudtud,Bgy,,,R,"1,019",,,
13304009,Tio-angan,Bgy,,,R,933,,,
13304010,Wallayan,Bgy,,,R,"1,139",,,
13305000,BALAOAN,Mun,,1st,,"39,188",,,
13305001,Apatut,Bgy,,,R,955,,,
13305002,Ar-arampang,Bgy,,,R,891,,,
13305003,Baracbac Este,Bgy,,,R,992,,,
13305004,Baracbac Oeste,Bgy,,,R,426,,,
13305005,Bet-ang,Bgy,,,R,677,,,
13305006,Bulbulala,Bgy,,,R,"1,653",,,
13305007,Bungol,Bgy,,,R,"1,457",,,
13305008,Butubut Este,Bgy,,,R,822,,,
13305009,Butubut Norte,Bgy,,,R,"1,237",,,
13305010,Butubut Oeste,Bgy,,,R,687,,,
13305011,Butubut Sur,Bgy,,,R,757,,,
13305012,Cabuaan Oeste (Pob.),Bgy,,,R,"1,248",,,
13305013,Calliat,Bgy,,,R,"1,369",,,
13305014,Calungbuyan,Bgy,,,R,"1,438",,,
13305015,Camiling,Bgy,,,R,957,,,
13305016,Guinaburan,Bgy,,,R,919,,,
13305017,Masupe,Bgy,,,R,947,,,
13305018,Nagsabaran Norte,Bgy,,,R,"1,546",,,
13305019,Nagsabaran Sur,Bgy,,,R,"1,144",,,
13305020,Nalasin,Bgy,,,R,"1,465",,,
13305021,Napaset,Bgy,,,R,578,,,
13305022,Pagbennecan,Bgy,,,R,880,,,
13305023,Pagleddegan,Bgy,,,R,666,,,
13305024,Pantar Norte,Bgy,,,R,"1,452",,,
13305025,Pantar Sur,Bgy,,,R,915,,,
13305026,Pa-o,Bgy,,,R,607,,,
13305028,Almieda,Bgy,,,R,"1,457",,,
13305029,Paraoir,Bgy,,,R,"2,022",,,
13305030,Patpata,Bgy,,,R,"1,441",,,
13305031,Dr. Camilo Osias Pob. (Cabuaan Este),Bgy,,,R,"1,873",,,
13305032,Sablut,Bgy,,,R,851,,,
13305033,San Pablo,Bgy,,,R,"1,214",,,
13305034,Sinapangan Norte,Bgy,,,R,647,,,
13305035,Sinapangan Sur,Bgy,,,R,"1,217",,,
13305036,Tallipugo,Bgy,,,R,"1,007",,,
13305037,Antonino,Bgy,,,R,774,,,
13306000,BANGAR,Mun,,3rd,,"35,947",,,
13306001,Agdeppa,Bgy,,,R,"1,254",,,
13306002,Alzate,Bgy,,,R,"1,329",,,
13306004,Bangaoilan East,Bgy,,,R,970,,,
13306005,Bangaoilan West,Bgy,,,R,912,,,
13306006,Barraca,Bgy,,,R,"1,248",,,
13306007,Cadapli,Bgy,,,R,"1,407",,,
13306008,Caggao,Bgy,,,R,190,,,
13306009,Consuegra,Bgy,,,R,"1,356",,,
13306010,General Prim East,Bgy,,,R,868,,,
13306011,General Prim West,Bgy,,,R,"1,509",,,
13306013,General Terrero,Bgy,,,R,"1,042",,,
13306015,Luzong Norte,Bgy,,,R,"1,334",,,
13306016,Luzong Sur,Bgy,,,R,989,,,
13306018,Maria Cristina East,Bgy,,,R,896,,,
13306019,Maria Cristina West,Bgy,,,R,"1,022",,,
13306020,Mindoro,Bgy,,,R,"1,801",,,
13306021,Nagsabaran,Bgy,,,R,"1,439",,,
13306022,Paratong Norte,Bgy,,,R,"1,591",,,
13306023,Paratong No. 3,Bgy,,,R,"1,039",,,
13306024,Paratong No. 4,Bgy,,,R,865,,,
13306025,Central East No. 1 (Pob.),Bgy,,,R,371,,,
13306026,Central East No. 2 (Pob.),Bgy,,,R,"1,097",,,
13306027,Central West No. 1 (Pob.),Bgy,,,R,443,,,
13306028,Central West No. 2 (Pob.),Bgy,,,R,558,,,
13306029,Central West No. 3 (Pob.),Bgy,,,R,605,,,
13306030,Quintarong,Bgy,,,R,"1,092",,,
13306031,Reyna Regente,Bgy,,,R,993,,,
13306032,Rissing,Bgy,,,R,"2,438",,,
13306033,San Blas,Bgy,,,R,"1,250",,,
13306034,San Cristobal,Bgy,,,R,808,,,
13306035,Sinapangan Norte,Bgy,,,R,"1,032",,,
13306036,Sinapangan Sur,Bgy,,,R,926,,,
13306037,Ubbog,Bgy,,,R,"1,273",,,
13307000,BAUANG,Mun,,1st,,"75,032",,,
13307001,Acao,Bgy,,,R,"4,283",,,
13307002,Baccuit Norte,Bgy,,,R,"2,488",,,
13307003,Baccuit Sur,Bgy,,,R,"2,322",,,
13307004,Bagbag,Bgy,,,R,"1,349",,,
13307005,Ballay,Bgy,,,R,"1,646",,,
13307006,Bawanta,Bgy,,,R,"1,166",,,
13307007,Boy-utan,Bgy,,,R,"1,202",,,
13307008,Bucayab,Bgy,,,R,"1,426",,,
13307009,Cabalayangan,Bgy,,,R,"1,593",,,
13307010,Cabisilan,Bgy,,,R,675,,,
13307011,Calumbaya,Bgy,,,R,"2,525",,,
13307012,Carmay,Bgy,,,R,482,,,
13307013,Casilagan,Bgy,,,R,"1,104",,,
13307014,Central East (Pob.),Bgy,,,U,"4,308",,,
13307015,Central West (Pob.),Bgy,,,U,"4,135",,,
13307016,Dili,Bgy,,,R,"2,026",,,
13307017,Disso-or,Bgy,,,R,"1,064",,,
13307018,Guerrero,Bgy,,,R,969,,,
13307019,Nagrebcan,Bgy,,,R,"1,458",,,
13307020,Pagdalagan Sur,Bgy,,,U,"2,507",,,
13307021,Palintucang,Bgy,,,R,"1,099",,,
13307022,Palugsi-Limmansangan,Bgy,,,R,"1,558",,,
13307023,Parian Oeste,Bgy,,,R,"1,223",,,
13307024,Parian Este,Bgy,,,R,"1,899",,,
13307025,Paringao,Bgy,,,U,"4,044",,,
13307026,Payocpoc Norte Este,Bgy,,,R,"1,343",,,
13307027,Payocpoc Norte Oeste,Bgy,,,R,"1,884",,,
13307028,Payocpoc Sur,Bgy,,,U,"2,947",,,
13307029,Pilar,Bgy,,,R,415,,,
13307030,Pudoc,Bgy,,,R,"1,737",,,
13307031,Pottot,Bgy,,,R,"1,412",,,
13307032,Pugo,Bgy,,,R,"3,058",,,
13307033,Quinavite,Bgy,,,R,"3,706",,,
13307034,Lower San Agustin,Bgy,,,R,"1,085",,,
13307035,Santa Monica,Bgy,,,R,"1,276",,,
13307036,Santiago,Bgy,,,R,"3,245",,,
13307037,Taberna,Bgy,,,R,"1,814",,,
13307038,Upper San Agustin,Bgy,,,R,"1,239",,,
13307039,Urayong,Bgy,,,R,"1,320",,,
13308000,BURGOS,Mun,,5th,,"8,067",,,
13308001,Agpay,Bgy,,,R,709,,,
13308002,Bilis,Bgy,,,R,"1,130",,,
13308003,Caoayan,Bgy,,,R,471,,,
13308004,Dalacdac,Bgy,,,R,308,,,
13308005,Delles,Bgy,,,R,"1,443",,,
13308006,Imelda,Bgy,,,R,387,,,
13308007,Libtong,Bgy,,,R,640,,,
13308008,Linuan,Bgy,,,R,427,,,
13308009,New Poblacion,Bgy,,,R,885,,,
13308010,Old Poblacion,Bgy,,,R,511,,,
13308011,Lower Tumapoc,Bgy,,,R,332,,,
13308012,Upper Tumapoc,Bgy,,,R,824,,,
13309000,CABA,Mun,,4th,,"22,039",,,
13309001,Bautista,Bgy,,,R,"1,093",,,
13309002,Gana,Bgy,,,R,"2,405",,,
13309003,Juan Cartas,Bgy,,,R,788,,,
13309004,Las-ud,Bgy,,,R,"1,344",,,
13309005,Liquicia,Bgy,,,R,"1,227",,,
13309006,Poblacion Norte,Bgy,,,R,"1,395",,,
13309007,Poblacion Sur,Bgy,,,R,883,,,
13309009,San Carlos,Bgy,,,R,"1,472",,,
13309010,San Cornelio,Bgy,,,R,"1,404",,,
13309011,San Fermin,Bgy,,,R,990,,,
13309012,San Gregorio,Bgy,,,R,"1,104",,,
13309013,San Jose,Bgy,,,R,"2,454",,,
13309014,Santiago Norte,Bgy,,,R,"1,095",,,
13309015,Santiago Sur,Bgy,,,R,"1,969",,,
13309016,Sobredillo,Bgy,,,R,"1,325",,,
13309017,Urayong,Bgy,,,R,684,,,
13309018,Wenceslao,Bgy,,,R,407,,,
13310000,LUNA,Mun,,3rd,,"35,802",,,
13310001,Alcala (Pob.),Bgy,,,R,836,,,
13310002,Ayaoan,Bgy,,,R,654,,,
13310003,Barangobong,Bgy,,,R,915,,,
13310004,Barrientos,Bgy,,,R,"1,902",,,
13310005,Bungro,Bgy,,,R,451,,,
13310006,Buselbusel,Bgy,,,R,"1,124",,,
13310007,Cabalitocan,Bgy,,,R,"1,086",,,
13310008,Cantoria No. 1,Bgy,,,R,499,,,
13310009,Cantoria No. 2,Bgy,,,R,534,,,
13310010,Cantoria No. 3,Bgy,,,R,701,,,
13310011,Cantoria No. 4,Bgy,,,R,538,,,
13310012,Carisquis,Bgy,,,R,687,,,
13310013,Darigayos,Bgy,,,R,"1,568",,,
13310014,Magallanes (Pob.),Bgy,,,R,"1,990",,,
13310015,Magsiping,Bgy,,,R,857,,,
13310016,Mamay,Bgy,,,R,354,,,
13310017,Nagrebcan,Bgy,,,R,875,,,
13310018,Nalvo Norte,Bgy,,,R,"1,318",,,
13310019,Nalvo Sur,Bgy,,,R,"1,538",,,
13310020,Napaset,Bgy,,,R,"1,260",,,
13310021,Oaqui No. 1,Bgy,,,R,531,,,
13310022,Oaqui No. 2,Bgy,,,R,368,,,
13310023,Oaqui No. 3,Bgy,,,R,684,,,
13310024,Oaqui No. 4,Bgy,,,R,711,,,
13310025,Pila,Bgy,,,R,"1,345",,,
13310026,Pitpitac,Bgy,,,R,647,,,
13310027,Rimos No. 1,Bgy,,,R,726,,,
13310028,Rimos No. 2,Bgy,,,R,566,,,
13310029,Rimos No. 3,Bgy,,,R,763,,,
13310030,Rimos No. 4,Bgy,,,R,850,,,
13310031,Rimos No. 5,Bgy,,,R,"1,356",,,
13310032,Rissing,Bgy,,,R,410,,,
13310033,Salcedo (Pob.),Bgy,,,R,"1,038",,,
13310034,Santo Domingo Norte,Bgy,,,R,"1,495",,,
13310035,Santo Domingo Sur,Bgy,,,R,983,,,
13310036,Sucoc Norte,Bgy,,,R,558,,,
13310037,Sucoc Sur,Bgy,,,R,382,,,
13310038,Suyo,Bgy,,,R,607,,,
13310039,Tallaoen,Bgy,,,R,708,,,
13310040,Victoria (Pob.),Bgy,,,R,"1,387",,,
13311000,NAGUILIAN,Mun,,1st,,"54,221",,,
13311001,Aguioas,Bgy,,,R,934,,,
13311002,Al-alinao Norte,Bgy,,,R,"1,450",,,
13311003,Al-alinao Sur,Bgy,,,R,982,,,
13311004,Ambaracao Norte,Bgy,,,R,"1,803",,,
13311005,Ambaracao Sur,Bgy,,,R,"1,023",,,
13311006,Angin,Bgy,,,R,857,,,
13311007,Balecbec,Bgy,,,R,"1,025",,,
